New York City,NY,16000US3651000,New York,mid_atlantic,Richmond – Queens – Kings – New York – Bronx,40.7128,-74.006,ChIJOwg_06VPwokRYv534QaPC8g,x,x,x,x,x,x,x,8461961,8461961,3644982,2064927,33388,1159883,3995,1277265,277521,2457945,3898839,857057,180254,2205425,391365,157964,508900,958,3128246,1000242,2128004,297284,53416,634945,138404,167591,6668100,8325859,1689759,55191,35.9,34.6,37.2,3436084,3128246,307838,36,51000,https://upload.wikimedia.org/wikipedia/commons/c/c0/1_times_square_night_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/1_times_square_night_2013.jpg/200px-1_times_square_night_2013.jpg,https://commons.wikimedia.org/wiki/File:1_times_square_night_2013.jpg,Times Square Night 2013,chensiyuan,no source,CC BY-SA 4.0,150,1383551,346189,43676,1773416,78.016,19.521,2.4628
Nashville,TN,16000US4752006,Tennessee,appalachian_highlands,Davidson County,36.1627,-86.7816,ChIJPZDrEzLsZIgRoNrpodC5P30,x,x,x,x,x,x,x,643771,643771,401360,180481,1720,22680,403,21744,15383,65995,333059,264426,33530,7457,6815,16769,174600,30,259427,138890,120537,36917,9422,34100,10255,31842,505116,622901,111912,49891,34,33.4,34.6,284276,259427,24849,47,52006,https://upload.wikimedia.org/wikipedia/commons/d/db/Nashville_panorama_Kaldari_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Nashville_panorama_Kaldari_01.jpg/200px-Nashville_panorama_Kaldari_01.jpg,https://commons.wikimedia.org/wiki/File:Nashville_panorama_Kaldari_01.jpg,Panorama of Nashville Skyline,Kaldari,own work,public domain,40,148473,84365,13361,246199,60.3060939,34.2669954,5.426910751
